thread_user_pk,thread_username,thread_follower_pk,thread_follower_username,follower_count
63073067781.0,aliencoremuzik,70726149166.0,arts.wh0re,
63073067781.0,aliencoremuzik,60882225687.0,cc.jayyyy,
63073067781.0,aliencoremuzik,55386498420.0,aliquashady999,
63073067781.0,aliencoremuzik,70648309318.0,dsombk,
63073067781.0,aliencoremuzik,52232781595.0,mojito.mike21,
63073067781.0,aliencoremuzik,1952583371.0,bastifuuu,
63073067781.0,aliencoremuzik,41911727975.0,dlnvaaz,
63073067781.0,aliencoremuzik,70885859819.0,bennymcvay,
63073067781.0,aliencoremuzik,13802590014.0,matulik__,
63073067781.0,aliencoremuzik,27537437267.0,_chris.arceo,
63073067781.0,aliencoremuzik,66891631140.0,canib__1n_your_basemeant,
63073067781.0,aliencoremuzik,61329180866.0,gamingleopard428,
63073067781.0,aliencoremuzik,44194677842.0,every1hatesbenn,
63073067781.0,aliencoremuzik,59602986409.0,ruin_pop,
63073067781.0,aliencoremuzik,71485223709.0,moha_med.2332009,
63073067781.0,aliencoremuzik,54971006231.0,lil_tj20007,
63073067781.0,aliencoremuzik,3438149810.0,moskri_,
63073067781.0,aliencoremuzik,19541034751.0,ihyjio_juan,
63073067781.0,aliencoremuzik,59589774495.0,rajibkrmakar,
63073067781.0,aliencoremuzik,14687279054.0,tired_oftwan,
63073067781.0,aliencoremuzik,44967201736.0,bendylane2,
63073067781.0,aliencoremuzik,2870345985.0,markelzur.p,
63073067781.0,aliencoremuzik,71732701229.0,khloe.slggg,
63073067781.0,aliencoremuzik,63393698738.0,aiman.irfaan,
63073067781.0,aliencoremuzik,437981182.0,iss.jas,
63073067781.0,aliencoremuzik,12061848388.0,davluna_,
63073067781.0,aliencoremuzik,22228348.0,v_delsid90,
63073067781.0,aliencoremuzik,60205809052.0,n.ix41,
63073067781.0,aliencoremuzik,1511055437.0,guntis.u,
63073067781.0,aliencoremuzik,6428671348.0,jangra3097,
63073067781.0,aliencoremuzik,72137187185.0,grace.maze12,
63073067781.0,aliencoremuzik,4622124902.0,leon_dckm,
63073067781.0,aliencoremuzik,70524099700.0,ha_rika8307,
63073067781.0,aliencoremuzik,44929655228.0,andres_hernandez_14k,
63073067781.0,aliencoremuzik,44985654893.0,sm_michael_,
63073067781.0,aliencoremuzik,5998539604.0,a5th_afif,
63073067781.0,aliencoremuzik,5979530399.0,karmaistleben,
63073067781.0,aliencoremuzik,36784968894.0,jamesmoore3430,
63073067781.0,aliencoremuzik,56346514019.0,rupawala31,
63073067781.0,aliencoremuzik,853054394.0,danaeee.k,
63073067781.0,aliencoremuzik,38739054443.0,afterlife_gl,
63073067781.0,aliencoremuzik,65770466535.0,boss_habib11,
63073067781.0,aliencoremuzik,1980613316.0,nelz.the.stylist,
63073067781.0,aliencoremuzik,72118246949.0,layla._loove,
63073067781.0,aliencoremuzik,72308586747.0,camila.presley,
63073067781.0,aliencoremuzik,72103791502.0,leannamindy1,
63073067781.0,aliencoremuzik,71970035962.0,kyle_will949,
63073067781.0,aliencoremuzik,61698445752.0,accirl,
63073067781.0,aliencoremuzik,1762317888.0,yesi_sanchez23,
63073067781.0,aliencoremuzik,70132549253.0,kig6.64,
63073067781.0,aliencoremuzik,7087043672.0,hamodeh_dg,
63073067781.0,aliencoremuzik,72299397339.0,daisy.milleriew,
63073067781.0,aliencoremuzik,62187773908.0,plazaliu,
63073067781.0,aliencoremuzik,6064587062.0,frankedwardf,
63073067781.0,aliencoremuzik,50745607680.0,24jcoffey,
63073067781.0,aliencoremuzik,4768950169.0,coldworldnaayy_,
63073067781.0,aliencoremuzik,51270057490.0,dana.cherry.pie,
63073067781.0,aliencoremuzik,63892290717.0,1al_dane,
63073067781.0,aliencoremuzik,991164230.0,__onyek,
63073067781.0,aliencoremuzik,9028989214.0,giuntini.irene,
63073067781.0,aliencoremuzik,6435449320.0,tmarjancevic,
63073067781.0,aliencoremuzik,54924328125.0,bad_bitch444456,
63073067781.0,aliencoremuzik,65214286339.0,maruf___1.0,
63073067781.0,aliencoremuzik,65225474163.0,sagheersandhu7511,
63073067781.0,aliencoremuzik,2949118227.0,joshcgriff,
71301727351.0,wiseadvicetrading,70057603123.0,baebih_kemzy_001,
71301727351.0,wiseadvicetrading,48513085311.0,maariissa2,
71301727351.0,wiseadvicetrading,56848062650.0,almri_srmnto10,
71301727351.0,wiseadvicetrading,236824234.0,fitwitkey,
71301727351.0,wiseadvicetrading,44902316351.0,heidyonthetrack,
71301727351.0,wiseadvicetrading,66244416966.0,jojoe_ramirez77,
71301727351.0,wiseadvicetrading,68650242516.0,__noorie_00,
71301727351.0,wiseadvicetrading,47582345688.0,s0iichee,
71301727351.0,wiseadvicetrading,15368734974.0,hadia_debbouci,
71301727351.0,wiseadvicetrading,8479259601.0,hasnain_a_w,
71301727351.0,wiseadvicetrading,17415577445.0,spammwiitniyaawiyaa,
71301727351.0,wiseadvicetrading,3597086160.0,jose.ramirez59,
71301727351.0,wiseadvicetrading,45422128348.0,sweetkawaiiblizzard,
71301727351.0,wiseadvicetrading,53663235192.0,edis.kunc,
71301727351.0,wiseadvicetrading,2234096889.0,urgeofeli,
71301727351.0,wiseadvicetrading,37008327252.0,_lauudemers_,
71301727351.0,wiseadvicetrading,9882845552.0,kevin.huesca.a,
71301727351.0,wiseadvicetrading,11914702911.0,iamnevaeh.marie,
71301727351.0,wiseadvicetrading,62715621018.0,rabeezzzzz,
71301727351.0,wiseadvicetrading,71550710929.0,letts_nathan,
71301727351.0,wiseadvicetrading,57659417081.0,truly__venus1710,
71301727351.0,wiseadvicetrading,63366034253.0,kath.melino,
71301727351.0,wiseadvicetrading,71661453334.0,archit._.20,
71301727351.0,wiseadvicetrading,2026231654.0,3asily.baked,
71301727351.0,wiseadvicetrading,64198818001.0,forgotten_lyrics444,
71301727351.0,wiseadvicetrading,3629174491.0,kylian.rw,
71301727351.0,wiseadvicetrading,64779685161.0,diva.dd7,
71301727351.0,wiseadvicetrading,38556471341.0,mskadijak,
71301727351.0,wiseadvicetrading,4607347820.0,ton1_.to,
71301727351.0,wiseadvicetrading,45284749971.0,chrissssss_ig,
